Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-fhir.org.nz.ig.base.json	61183	-	0	0	0	0	0	0	15	54	0	0	0	0	0	0	0	2	0	0	364	164	0	0	0	6	0	8
fsh-generated/resources/Condition-condition-long-term-condition.json	462	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	45	10	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageCSC.json	1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	11	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageGMS.json	1222	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	7	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageHUHC.json	1147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	7	0	0	0	0	0	0
fsh-generated/resources/Location-location-alias-type.json	557	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	7	0	0	0	0	0	0
fsh-generated/resources/Location-location-established.json	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	6	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-nzeps-long-term-medication.json	532	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	51	11	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-nzeps-supply-period-reason.json	543	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	42	6	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest-nzeps-unusual-dose-quantity.json	534	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	71	8	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-acc45-id.json	356	1	8	0	0	1	0	0	0	2	40	0	0	0	1	0	0	0	0	0	51	10	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-chiropractic-board-id.json	822	0	1	0	0	0	0	0	1	1	20	0	0	0	1	0	0	0	0	0	43	12	0	0	0	0	0	1
fsh-generated/resources/NamingSystem-dental-council-id.json	811	0	1	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	45	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-dietitians-board-id.json	815	1	1	0	0	0	0	0	0	1	14	0	0	0	1	0	0	0	0	0	46	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-hpi-facility-id.json	1141	0	6	0	1	0	0	0	0	1	15	0	0	0	1	0	0	0	0	0	41	9	0	0	0	0	0	0
